Metric,Num Peers,Chain Length,PoS - Ethereum,Proof of Luck,PoW - Bitcoin,PoA - Autobahn,,Bitcoin times
Time (the time it takes n peers to reach consensus on x) (sec),10,5,25.34,21.08333333,131.61,25.25,vm01,Simulation started at 2025-05-01 20:12:06 and ended at 2025-05-01 20:14:18
,10,10,50.34666667,46.66,206.73,50.31,vm03,Simulation started at 2025-05-01 20:12:35 and ended at 2025-05-01 20:16:02
,10,50,250.53,246.7033333,521.14,250.49,vm05,Simulation started at 2025-05-01 20:34:28 and ended at 2025-05-01 20:43:09
,30,5,25.34333333,21.57333333,192,25.24,vm01,Simulation started at 2025-05-01 20:14:53 and ended at 2025-05-01 20:18:05
,30,10,50.35333333,46.96,351.79,50.28,vm07,Simulation started at 2025-05-01 20:16:31 and ended at 2025-05-01 20:22:23
,30,50,250.5666667,246.9866667,447.73,250.55,vm09,Simulation started at 2025-05-01 20:17:59 and ended at 2025-05-01 20:25:27
,50,5,25.35666667,21.72666667,227.66,25.28,vm09,Simulation started at 2025-05-01 20:58:12 and ended at 2025-05-01 21:02:00
,50,10,50.38666667,47.09,277.46,50.38,vm13,Simulation started at 2025-05-01 20:26:46 and ended at 2025-05-01 20:31:24
,50,50,250.6366667,247.3,1100.01,250.73,vm09,Simulation started at 2025-05-01 20:39:15 and ended at 2025-05-01 20:57:35
,100,5,x,22.00666667,115.06,25.8,vm07,Simulation started at 2025-05-01 21:01:23 and ended at 2025-05-01 21:03:18
,100,10,x,47.18333333,149.28,50.96,vm07,Simulation started at 2025-05-01 20:40:44 and ended at 2025-05-01 20:43:14
,100,50,x,247.5266667,1547.33,251.32,vm05,Simulation started at 2025-05-01 20:30:08 and ended at 2025-05-01 20:55:56
Max CPU Usage (mHz),10,5,147,87,2885,,vm01,Simulation started at 2025-05-01 20:12:06 and ended at 2025-05-01 20:14:18
,10,10,153,85.33333333,2873,,vm03,Simulation started at 2025-05-01 20:12:35 and ended at 2025-05-01 20:16:02
,10,50,196,704,4250,,vm05,Simulation started at 2025-05-01 20:34:28 and ended at 2025-05-01 20:43:09
,30,5,308,152.3333333,2921,,vm01,Simulation started at 2025-05-01 20:14:53 and ended at 2025-05-01 20:18:05
,30,10,264,184.3333333,4619,,vm07,Simulation started at 2025-05-01 20:16:31 and ended at 2025-05-01 20:22:23
,30,50,230,898,2924,,vm09,Simulation started at 2025-05-01 20:17:59 and ended at 2025-05-01 20:25:27
,50,5,457,270,2983,,vm09,Simulation started at 2025-05-01 20:58:12 and ended at 2025-05-01 21:02:00
,50,10,447,305,5105,,vm13,Simulation started at 2025-05-01 20:26:46 and ended at 2025-05-01 20:31:24
,50,50,606,484,4349,,vm09,Simulation started at 2025-05-01 20:39:15 and ended at 2025-05-01 20:57:35
,100,5,x,2634,2955,,vm07,Simulation started at 2025-05-01 21:01:23 and ended at 2025-05-01 21:03:18
,100,10,x,2634,2882,,vm07,Simulation started at 2025-05-01 20:40:44 and ended at 2025-05-01 20:43:14
,100,50,x,1163,4468,,vm05,Simulation started at 2025-05-01 20:30:08 and ended at 2025-05-01 20:55:56
Average CPU Usage (mHz),10,5,132,87,2600,,vm01,Simulation started at 2025-05-01 20:12:06 and ended at 2025-05-01 20:14:18
,10,10,147,80.94444444,2572,,vm03,Simulation started at 2025-05-01 20:12:35 and ended at 2025-05-01 20:16:02
,10,50,165,152.241453,2880,,vm05,Simulation started at 2025-05-01 20:34:28 and ended at 2025-05-01 20:43:09
,30,5,220,150.8333333,2738,,vm01,Simulation started at 2025-05-01 20:14:53 and ended at 2025-05-01 20:18:05
,30,10,215,172.1111111,2899,,vm07,Simulation started at 2025-05-01 20:16:31 and ended at 2025-05-01 20:22:23
,30,50,231,281.8888889,2736,,vm09,Simulation started at 2025-05-01 20:17:59 and ended at 2025-05-01 20:25:27
,50,5,300,270,2831,,vm09,Simulation started at 2025-05-01 20:58:12 and ended at 2025-05-01 21:02:00
,50,10,350,276,3504,,vm13,Simulation started at 2025-05-01 20:26:46 and ended at 2025-05-01 20:31:24
,50,50,487,400.1666667,2909,,vm09,Simulation started at 2025-05-01 20:39:15 and ended at 2025-05-01 20:57:35
,100,5,x,1579.5,2829,,vm07,Simulation started at 2025-05-01 21:01:23 and ended at 2025-05-01 21:03:18
,100,10,x,1363.666667,2786,,vm07,Simulation started at 2025-05-01 20:40:44 and ended at 2025-05-01 20:43:14
,100,50,x,985.5,3065,,vm05,Simulation started at 2025-05-01 20:30:08 and ended at 2025-05-01 20:55:56
Total Disk Read (KB),30,5,4277.7,84,0,0,,
Total Disk Read (KB),30,10,0,0,0,0,,
Total Disk Read (KB),30,50,539.7,12,4089.2,0,,
Average Disk Read (KB/s),30,5,5.63,0.24,0,0,,
Average Disk Read (KB/s),30,10,0,0,0,0,,
Average Disk Read (KB/s),30,50,0.16,0,0.43,0,,
Total Disk Write (KB),30,5,2674.4,237,1376.7,255,,
Total Disk Write (KB),30,10,495,444,1575,589,,
Total Disk Write (KB),30,50,4239.9,2184.7,9709.4,1219,,
Average Disk Write (KB/s),30,5,3.52,0.68,0.76,0.47,,
Average Disk Write (KB/s),30,10,0.81,0.77,0.56,1.05,,
Average Disk Write (KB/s),30,50,1.28,0.71,1.03,0.46,,
Total Emissions (CO2 Kg),30,5,6.07E-05,4.14E-05,0.0004645476317,6.39E-05,,
Total Emissions (CO2 Kg),30,10,0.0001053180797,9.44E-05,0.001210540462,0.0001299215379,,
Total Emissions (CO2 Kg),30,50,0.0005082113141,0.0005892891534,0.005544726876,0.0005860695629,,
Total Energy (kWh),30,5,0.0001642468803,0.0001119512278,0.001257324978,0.0001729864633,,
Total Energy (kWh),30,10,0.0002850494615,0.0002554477475,0.003276397631,0.0003516401412,,
Total Energy (kWh),30,50,0.001375503255,0.001594945107,0.01500712332,0.001586231099,,
CPU Energy (kWh),30,5,8.56E-05,5.60E-05,0.001063816833,9.44E-05,,
CPU Energy (kWh),30,10,0.0001438237264,0.0001362858033,0.002836094618,0.0002105050324,,
CPU Energy (kWh),30,50,0.0007475987946,0.0009750432868,0.01275879395,0.0009586116111,,
RAM Energy (kWh),30,5,7.87E-05,5.60E-05,0.0001935081455,7.85E-05,,
RAM Energy (kWh),30,10,0.0001412257351,0.0001191619442,0.0004403030127,0.0001411351088,,
RAM Energy (kWh),30,50,0.0006279044603,0.0006199018198,0.002248329371,0.0006276194881,,
Avg CPU Power (W),30,5,10,10,15.79166667,11.4,,
Avg CPU Power (W),30,10,10,24.11111111,23.95,15.36666667,,
Avg CPU Power (W),30,50,25.38333333,15.83333333,10,16.31666667,,
