"Time","Consumed for sp25-cs525-0720.cs.illinois.edu","Ballooned memory for sp25-cs525-0720.cs.illinois.edu"
"2025-04-30T20:00:00.000Z",,
"2025-04-30T20:05:00.000Z",,
"2025-04-30T20:10:00.000Z",,
"2025-04-30T20:15:00.000Z",,
"2025-04-30T20:20:00.000Z",,
"2025-04-30T20:25:00.000Z",2772138,0
"2025-04-30T20:30:00.000Z",3288814,0
"2025-04-30T20:35:00.000Z",3291136,0
"2025-04-30T20:40:00.000Z",3290669,0
"2025-04-30T20:45:00.000Z",3383374,0
"2025-04-30T20:50:00.000Z",3780383,0
"2025-04-30T20:55:00.000Z",4013268,0
"2025-04-30T21:00:00.000Z",4013283,0
"2025-04-30T21:05:00.000Z",4013268,0
"2025-04-30T21:10:00.000Z",4013267,0
"2025-04-30T21:15:00.000Z",4013268,0
"2025-04-30T21:20:00.000Z",4013266,0
"2025-04-30T21:25:00.000Z",4013260,0
"2025-04-30T21:30:00.000Z",4013260,0
"2025-04-30T21:35:00.000Z",4013258,0
"2025-04-30T21:40:00.000Z",4013259,0
"2025-04-30T21:45:00.000Z",4013259,0
"2025-04-30T21:50:00.000Z",4013252,0
"2025-04-30T21:55:00.000Z",4013252,0
"2025-04-30T22:00:00.000Z",4013252,0
"2025-04-30T22:05:00.000Z",4013251,0
"2025-04-30T22:10:00.000Z",4013248,0
"2025-04-30T22:15:00.000Z",4013248,0
"2025-04-30T22:20:00.000Z",4013259,0
"2025-04-30T22:25:00.000Z",4013247,0
"2025-04-30T22:30:00.000Z",4013244,0
"2025-04-30T22:35:00.000Z",4013244,0
"2025-04-30T22:40:00.000Z",4013244,0
"2025-04-30T22:45:00.000Z",4013241,0
"2025-04-30T22:50:00.000Z",4013240,0
"2025-04-30T22:55:00.000Z",4013240,0
"2025-04-30T23:00:00.000Z",4013240,0
"2025-04-30T23:05:00.000Z",4013236,0
"2025-04-30T23:10:00.000Z",4013236,0
"2025-04-30T23:15:00.000Z",4013236,0
"2025-04-30T23:20:00.000Z",4013233,0
"2025-04-30T23:25:00.000Z",4013232,0
"2025-04-30T23:30:00.000Z",4013232,0
"2025-04-30T23:35:00.000Z",4013232,0
"2025-04-30T23:40:00.000Z",4013232,0
"2025-04-30T23:45:00.000Z",4013232,0
"2025-04-30T23:50:00.000Z",4013232,0
"2025-04-30T23:55:00.000Z",4013230,0
"2025-05-01T00:00:00.000Z",4013228,0
