Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Total Energy (kWh),CPU Energy (kWh),RAM Energy (kWh),Total Emissions (CO2 Kg),Avg CPU Power (W),Peers In Sync,Blockchains Match
1,30,5,25.26,2025-05-09 21:03:16,2025-05-09 21:03:41,0.0001700110034982499,9.15289776010281e-05,7.848202589722178e-05,6.281447549550888e-05,10.0,False,False
2,30,5,25.28,2025-05-09 21:03:44,2025-05-09 21:04:09,0.0001749385480296022,9.639915377960232e-05,7.853939424999984e-05,6.463507015614121e-05,12.2,False,False
3,30,5,25.3,2025-05-09 21:04:12,2025-05-09 21:04:37,0.00017400983825099117,9.541594917599208e-05,7.859388907499907e-05,6.429193696810846e-05,12.0,False,False
Average,30,5,25.28,N/A,N/A,0.00017298646325961443,9.44480268522075e-05,7.85384364074069e-05,6.391382753991952e-05,11.4,N/A,N/A
1,30,10,50.33,2025-05-09 21:04:40,2025-05-09 21:05:31,0.0003199761954966715,0.00017881071345778198,0.0001411654820388896,0.0001182225648787417,15.0,False,False
2,30,10,50.27,2025-05-09 21:05:33,2025-05-09 21:06:24,0.00041471223266044074,0.000273684843638219,0.00014102738902222175,0.000153224972737751,14.899999999999999,False,False
3,30,10,50.34,2025-05-09 21:06:26,2025-05-09 21:07:17,0.00032023199532354784,0.000179019540065214,0.00014121245525833376,0.0001183170760081772,16.2,False,False
Average,30,10,50.31333333333333,N/A,N/A,0.00035164014116022003,0.00021050503238707167,0.0001411351087731484,0.00012992153787488996,15.366666666666665,N/A,N/A
1,30,50,250.58,2025-05-09 21:07:20,2025-05-09 21:11:30,0.00189375338482955,0.001266078098176773,0.0006276752866527763,0.0006996907443531283,15.2,False,False
2,30,50,250.52,2025-05-09 21:11:33,2025-05-09 21:15:44,0.0014394070446691102,0.0008118052579246648,0.0006276017867444449,0.0005318220390150302,16.0,False,False
3,30,50,250.54,2025-05-09 21:15:46,2025-05-09 21:19:57,0.0014255328680952998,0.0007979514772730785,0.0006275813908222214,0.0005266959053737747,17.750000000000004,False,False
Average,30,50,250.54666666666665,N/A,N/A,0.0015862310991979864,0.0009586116111248388,0.0006276194880731476,0.0005860695629139777,16.316666666666666,N/A,N/A
