Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Peers In Sync,Blockchains Match
1,10,5,25.34,2025-04-30 16:15:05,2025-04-30 16:15:30,True,True
2,10,5,25.34,2025-04-30 16:15:30,2025-04-30 16:15:55,True,True
3,10,5,25.34,2025-04-30 16:15:55,2025-04-30 16:16:21,True,True
1,10,10,50.34,2025-04-30 16:16:21,2025-04-30 16:17:11,True,True
2,10,10,50.37,2025-04-30 16:17:11,2025-04-30 16:18:02,True,True
3,10,10,50.33,2025-04-30 16:18:02,2025-04-30 16:18:52,True,True
1,10,50,250.49,2025-04-30 16:18:52,2025-04-30 16:23:03,True,True
2,10,50,250.6,2025-04-30 16:23:03,2025-04-30 16:27:13,True,True
3,10,50,250.5,2025-04-30 16:27:13,2025-04-30 16:31:24,True,True
1,30,5,25.34,2025-04-30 16:31:24,2025-04-30 16:31:49,True,True
2,30,5,25.34,2025-04-30 16:31:49,2025-04-30 16:32:15,True,True
3,30,5,25.35,2025-04-30 16:32:15,2025-04-30 16:32:40,True,True
1,30,10,50.33,2025-04-30 16:32:40,2025-04-30 16:33:30,True,True
2,30,10,50.37,2025-04-30 16:33:30,2025-04-30 16:34:21,True,True
3,30,10,50.36,2025-04-30 16:34:21,2025-04-30 16:35:11,True,True
1,30,50,250.58,2025-04-30 16:35:11,2025-04-30 16:39:22,True,True
2,30,50,250.55,2025-04-30 16:39:22,2025-04-30 16:43:32,True,True
3,30,50,250.57,2025-04-30 16:43:32,2025-04-30 16:47:43,True,True
1,50,5,25.35,2025-04-30 16:47:43,2025-04-30 16:48:08,True,True
2,50,5,25.35,2025-04-30 16:48:09,2025-04-30 16:48:34,True,True
3,50,5,25.37,2025-04-30 16:48:34,2025-04-30 16:48:59,True,True
1,50,10,50.38,2025-04-30 16:48:59,2025-04-30 16:49:50,True,True
2,50,10,50.36,2025-04-30 16:49:50,2025-04-30 16:50:40,True,True
3,50,10,50.42,2025-04-30 16:50:40,2025-04-30 16:51:31,True,True
1,50,50,250.61,2025-04-30 16:51:31,2025-04-30 16:55:41,True,True
2,50,50,250.63,2025-04-30 16:55:41,2025-04-30 16:59:52,True,True
3,50,50,250.67,2025-04-30 16:59:52,2025-04-30 17:04:03,True,True
