Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Peers In Sync,Blockchains Match
1,10,5,20.98,2025-05-01 00:27:29,2025-05-01 00:27:50,False,True
2,10,5,20.37,2025-05-01 00:27:50,2025-05-01 00:28:11,False,True
3,10,5,21.9,2025-05-01 00:28:11,2025-05-01 00:28:33,False,True
1,10,10,47.01,2025-05-01 00:28:33,2025-05-01 00:29:20,False,True
2,10,10,46.65,2025-05-01 00:29:20,2025-05-01 00:30:06,False,True
3,10,10,46.32,2025-05-01 00:30:07,2025-05-01 00:30:53,False,True
1,10,50,246.42,2025-05-01 00:30:53,2025-05-01 00:34:59,False,True
2,10,50,246.86,2025-05-01 00:34:59,2025-05-01 00:39:06,False,True
3,10,50,246.83,2025-05-01 00:39:06,2025-05-01 00:43:13,False,True
1,30,5,21.4,2025-05-01 00:43:13,2025-05-01 00:43:35,False,True
2,30,5,21.98,2025-05-01 00:43:35,2025-05-01 00:43:57,False,True
3,30,5,21.34,2025-05-01 00:43:57,2025-05-01 00:44:18,False,True
1,30,10,46.87,2025-05-01 00:44:18,2025-05-01 00:45:05,False,True
2,30,10,47.22,2025-05-01 00:45:05,2025-05-01 00:45:52,False,True
3,30,10,46.79,2025-05-01 00:45:52,2025-05-01 00:46:39,False,True
1,30,50,246.92,2025-05-01 00:46:39,2025-05-01 00:50:46,False,True
2,30,50,247.05,2025-05-01 00:50:46,2025-05-01 00:54:53,False,True
3,30,50,246.99,2025-05-01 00:54:53,2025-05-01 00:59:00,False,True
1,50,5,21.82,2025-05-01 00:59:00,2025-05-01 00:59:22,False,True
2,50,5,21.84,2025-05-01 00:59:22,2025-05-01 00:59:44,False,True
3,50,5,21.52,2025-05-01 00:59:44,2025-05-01 01:00:06,False,True
1,50,10,47.25,2025-05-01 01:00:06,2025-05-01 01:00:53,False,True
2,50,10,46.99,2025-05-01 01:00:53,2025-05-01 01:01:40,False,True
3,50,10,47.03,2025-05-01 01:01:40,2025-05-01 01:02:27,False,True
1,50,50,247.33,2025-05-01 01:02:27,2025-05-01 01:06:34,False,True
2,50,50,247.31,2025-05-01 01:06:35,2025-05-01 01:10:42,False,True
3,50,50,247.26,2025-05-01 01:10:42,2025-05-01 01:14:49,False,True
1,100,5,21.87,2025-05-01 01:14:49,2025-05-01 01:15:11,False,True
2,100,5,22.19,2025-05-01 01:15:11,2025-05-01 01:15:33,False,True
3,100,5,21.96,2025-05-01 01:15:33,2025-05-01 01:15:55,False,True
1,100,10,46.91,2025-05-01 01:15:55,2025-05-01 01:16:42,False,True
2,100,10,47.33,2025-05-01 01:16:42,2025-05-01 01:17:30,False,True
3,100,10,47.31,2025-05-01 01:17:30,2025-05-01 01:18:17,False,True
1,100,50,247.59,2025-05-01 01:18:17,2025-05-01 01:22:25,False,True
2,100,50,247.45,2025-05-01 01:22:25,2025-05-01 01:26:32,False,True
3,100,50,247.54,2025-05-01 01:26:32,2025-05-01 01:30:40,False,True
