Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Peers In Sync,Blockchains Match
1,50,5,21.66,2025-05-01 15:13:08,2025-05-01 15:13:30,True,True
2,50,5,22.06,2025-05-01 15:13:30,2025-05-01 15:13:52,True,True
3,50,5,21.98,2025-05-01 15:13:52,2025-05-01 15:14:14,True,True
1,50,10,47.07,2025-05-01 15:14:14,2025-05-01 15:15:01,True,True
2,50,10,46.89,2025-05-01 15:15:01,2025-05-01 15:15:48,True,True
3,50,10,46.95,2025-05-01 15:15:48,2025-05-01 15:16:35,True,True
1,50,50,247.35,2025-05-01 15:16:35,2025-05-01 15:20:42,True,True
2,50,50,247.32,2025-05-01 15:20:42,2025-05-01 15:24:50,True,True
3,50,50,247.32,2025-05-01 15:24:50,2025-05-01 15:28:57,True,True
1,100,5,22.28,2025-05-01 15:28:57,2025-05-01 15:29:19,True,True
2,100,5,22.08,2025-05-01 15:29:19,2025-05-01 15:29:42,True,True
3,100,5,22.23,2025-05-01 15:29:42,2025-05-01 15:30:04,True,True
1,100,10,47.42,2025-05-01 15:30:04,2025-05-01 15:30:51,True,True
2,100,10,47.33,2025-05-01 15:30:51,2025-05-01 15:31:39,True,True
3,100,10,47.29,2025-05-01 15:31:39,2025-05-01 15:32:26,True,True
1,100,50,247.49,2025-05-01 15:32:26,2025-05-01 15:36:34,True,True
2,100,50,247.51,2025-05-01 15:36:34,2025-05-01 15:40:41,True,True
3,100,50,247.56,2025-05-01 15:40:41,2025-05-01 15:44:49,True,True
