Run,Num Peers,Chain Length,Runtime,Interval Start,Interval End,Peers In Sync,Blockchains Match,CPU Max
1,10,5,21.24,2025-05-01 16:29:10,2025-05-01 16:29:31,True,True,
2,10,5,20.89,2025-05-01 16:29:31,2025-05-01 16:29:52,True,True,
3,10,5,21.62,2025-05-01 16:29:52,2025-05-01 16:30:14,True,True,87.0
1,10,10,46.48,2025-05-01 16:30:14,2025-05-01 16:31:00,True,True,86.0
2,10,10,46.87,2025-05-01 16:31:01,2025-05-01 16:31:47,True,True,88.0
3,10,10,46.81,2025-05-01 16:31:47,2025-05-01 16:32:34,True,True,82.0
1,10,50,247.04,2025-05-01 16:32:34,2025-05-01 16:36:41,True,True,117.0
2,10,50,247.01,2025-05-01 16:36:41,2025-05-01 16:40:48,True,True,1887.0
3,10,50,246.99,2025-05-01 16:40:49,2025-05-01 16:44:55,True,True,108.0
1,30,5,21.8,2025-05-01 16:44:56,2025-05-01 16:45:17,True,True,138.0
2,30,5,21.28,2025-05-01 16:45:17,2025-05-01 16:45:39,True,True,154.0
3,30,5,21.93,2025-05-01 16:45:39,2025-05-01 16:46:01,True,True,165.0
1,30,10,46.98,2025-05-01 16:46:01,2025-05-01 16:46:48,True,True,180.0
2,30,10,46.73,2025-05-01 16:46:48,2025-05-01 16:47:35,True,True,181.0
3,30,10,46.94,2025-05-01 16:47:35,2025-05-01 16:48:22,True,True,192.0
1,30,50,246.99,2025-05-01 16:48:22,2025-05-01 16:52:29,True,True,312.0
2,30,50,247.26,2025-05-01 16:52:29,2025-05-01 16:56:36,True,True,2108.0
3,30,50,247.03,2025-05-01 16:56:36,2025-05-01 17:00:43,True,True,274.0
