"Time","Usage in MHz for sp25-cs525-0720.cs.illinois.edu"
"2025-04-30T19:55:00.000Z",
"2025-04-30T20:00:00.000Z",
"2025-04-30T20:05:00.000Z",
"2025-04-30T20:10:00.000Z",
"2025-04-30T20:15:00.000Z",
"2025-04-30T20:20:00.000Z",
"2025-04-30T20:25:00.000Z",1326
"2025-04-30T20:30:00.000Z",333
"2025-04-30T20:35:00.000Z",197
"2025-04-30T20:40:00.000Z",133
"2025-04-30T20:45:00.000Z",232
"2025-04-30T20:50:00.000Z",2097
"2025-04-30T20:55:00.000Z",759
"2025-04-30T21:00:00.000Z",234
"2025-04-30T21:05:00.000Z",140
"2025-04-30T21:10:00.000Z",179
"2025-04-30T21:15:00.000Z",143
"2025-04-30T21:20:00.000Z",128
"2025-04-30T21:25:00.000Z",137
"2025-04-30T21:30:00.000Z",201
"2025-04-30T21:35:00.000Z",195
"2025-04-30T21:40:00.000Z",264
"2025-04-30T21:45:00.000Z",264
"2025-04-30T21:50:00.000Z",431
"2025-04-30T21:55:00.000Z",414
"2025-04-30T22:00:00.000Z",469
"2025-04-30T22:05:00.000Z",555
"2025-04-30T22:10:00.000Z",809
"2025-04-30T22:15:00.000Z",1107
"2025-04-30T22:20:00.000Z",1352
"2025-04-30T22:25:00.000Z",1431
"2025-04-30T22:30:00.000Z",1502
"2025-04-30T22:35:00.000Z",1608
"2025-04-30T22:40:00.000Z",1774
"2025-04-30T22:45:00.000Z",1762
"2025-04-30T22:50:00.000Z",1804
"2025-04-30T22:55:00.000Z",1928
"2025-04-30T23:00:00.000Z",1853
"2025-04-30T23:05:00.000Z",1894
"2025-04-30T23:10:00.000Z",2028
"2025-04-30T23:15:00.000Z",2031
"2025-04-30T23:20:00.000Z",1969
"2025-04-30T23:25:00.000Z",2078
"2025-04-30T23:30:00.000Z",2019
"2025-04-30T23:35:00.000Z",2031
"2025-04-30T23:40:00.000Z",2074
"2025-04-30T23:45:00.000Z",2176
"2025-04-30T23:50:00.000Z",2088
"2025-04-30T23:55:00.000Z",2153
"2025-05-01T00:00:00.000Z",2218
"2025-05-01T00:05:00.000Z",2163
"2025-05-01T00:10:00.000Z",2146
"2025-05-01T00:15:00.000Z",2209
"2025-05-01T00:20:00.000Z",2174
"2025-05-01T00:25:00.000Z",2215
"2025-05-01T00:30:00.000Z",2287
"2025-05-01T00:35:00.000Z",2199
"2025-05-01T00:40:00.000Z",2197
"2025-05-01T00:45:00.000Z",2238
"2025-05-01T00:50:00.000Z",2311
"2025-05-01T00:55:00.000Z",2523
"2025-05-01T01:00:00.000Z",2250
"2025-05-01T01:05:00.000Z",2369
"2025-05-01T01:10:00.000Z",2295
"2025-05-01T01:15:00.000Z",2261
"2025-05-01T01:20:00.000Z",2386
"2025-05-01T01:25:00.000Z",2312
"2025-05-01T01:30:00.000Z",2277
"2025-05-01T01:35:00.000Z",2308
"2025-05-01T01:40:00.000Z",2405
"2025-05-01T01:45:00.000Z",2279
"2025-05-01T01:50:00.000Z",2329
"2025-05-01T01:55:00.000Z",2391
"2025-05-01T02:00:00.000Z",2360
"2025-05-01T02:05:00.000Z",2345
"2025-05-01T02:10:00.000Z",2361
"2025-05-01T02:15:00.000Z",2418
"2025-05-01T02:20:00.000Z",2361
"2025-05-01T02:25:00.000Z",2363
"2025-05-01T02:30:00.000Z",2496
"2025-05-01T02:35:00.000Z",2354
"2025-05-01T02:40:00.000Z",2392
"2025-05-01T02:45:00.000Z",2421
"2025-05-01T02:50:00.000Z",1779
"2025-05-01T02:55:00.000Z",39
"2025-05-01T03:00:00.000Z",38
"2025-05-01T03:05:00.000Z",122
"2025-05-01T03:10:00.000Z",39
"2025-05-01T03:15:00.000Z",99
"2025-05-01T03:20:00.000Z",121
"2025-05-01T03:25:00.000Z",40
"2025-05-01T03:30:00.000Z",40
"2025-05-01T03:35:00.000Z",125
"2025-05-01T03:40:00.000Z",40
"2025-05-01T03:45:00.000Z",38
"2025-05-01T03:50:00.000Z",124
"2025-05-01T03:55:00.000Z",38
"2025-05-01T04:00:00.000Z",213
"2025-05-01T04:05:00.000Z",436
"2025-05-01T04:10:00.000Z",957
"2025-05-01T04:15:00.000Z",1173
"2025-05-01T04:20:00.000Z",1037
"2025-05-01T04:25:00.000Z",930
"2025-05-01T04:30:00.000Z",1099
"2025-05-01T04:35:00.000Z",1266
"2025-05-01T04:40:00.000Z",1473
"2025-05-01T04:45:00.000Z",1226
"2025-05-01T04:50:00.000Z",156
"2025-05-01T04:55:00.000Z",184
"2025-05-01T05:00:00.000Z",121
"2025-05-01T05:05:00.000Z",164
"2025-05-01T05:10:00.000Z",241
"2025-05-01T05:15:00.000Z",239
"2025-05-01T05:20:00.000Z",202
"2025-05-01T05:25:00.000Z",214
"2025-05-01T05:30:00.000Z",239
"2025-05-01T05:35:00.000Z",122
"2025-05-01T05:40:00.000Z",113
"2025-05-01T05:45:00.000Z",147
"2025-05-01T05:50:00.000Z",300
"2025-05-01T05:55:00.000Z",243
"2025-05-01T06:00:00.000Z",257
"2025-05-01T06:05:00.000Z",450
"2025-05-01T06:10:00.000Z",445
"2025-05-01T06:15:00.000Z",445
"2025-05-01T06:20:00.000Z",867
"2025-05-01T06:25:00.000Z",1030
"2025-05-01T06:30:00.000Z",1012
"2025-05-01T06:35:00.000Z",
"2025-05-01T06:40:00.000Z",
"2025-05-01T06:45:00.000Z",
"2025-05-01T06:50:00.000Z",
