"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0704.cs.illinois.edu","Usage in MHz for 1"
"2025-05-01T20:13:40.000Z",34,76,34
"2025-05-01T20:14:00.000Z",26,67,37
"2025-05-01T20:14:20.000Z",49,130,75
"2025-05-01T20:14:40.000Z",32,72,36
"2025-05-01T20:15:00.000Z",55,128,65
"2025-05-01T20:15:20.000Z",34,65,28
"2025-05-01T20:15:40.000Z",61,173,107
"2025-05-01T20:16:00.000Z",159,351,186
"2025-05-01T20:16:20.000Z",37,72,28
"2025-05-01T20:16:40.000Z",37,83,42
"2025-05-01T20:17:00.000Z",45,91,40
"2025-05-01T20:17:20.000Z",42,80,33
"2025-05-01T20:17:40.000Z",51,96,39
"2025-05-01T20:18:00.000Z",53,96,37
"2025-05-01T20:18:20.000Z",33,84,44
"2025-05-01T20:18:40.000Z",51,104,47
"2025-05-01T20:19:00.000Z",57,105,41
"2025-05-01T20:19:20.000Z",52,90,34
"2025-05-01T20:19:40.000Z",58,113,49
"2025-05-01T20:20:00.000Z",54,104,44
"2025-05-01T20:20:20.000Z",34,76,37
"2025-05-01T20:20:40.000Z",43,79,29
"2025-05-01T20:21:00.000Z",51,90,32
"2025-05-01T20:21:20.000Z",35,77,39
"2025-05-01T20:21:40.000Z",35,98,55
"2025-05-01T20:22:00.000Z",39,93,49
"2025-05-01T20:22:20.000Z",41,107,58
"2025-05-01T20:22:40.000Z",47,115,62
"2025-05-01T20:23:00.000Z",45,113,62
"2025-05-01T20:23:20.000Z",48,114,59
"2025-05-01T20:23:40.000Z",35,123,81
"2025-05-01T20:24:00.000Z",79,121,38
"2025-05-01T20:24:20.000Z",55,98,37
"2025-05-01T20:24:40.000Z",38,82,38
"2025-05-01T20:25:00.000Z",37,83,41
"2025-05-01T20:25:20.000Z",30,76,41
"2025-05-01T20:25:40.000Z",46,94,42
"2025-05-01T20:26:00.000Z",48,106,51
"2025-05-01T20:26:20.000Z",99,196,87
"2025-05-01T20:26:40.000Z",80,247,139
"2025-05-01T20:27:00.000Z",65,132,52
"2025-05-01T20:27:20.000Z",51,128,45
"2025-05-01T20:27:40.000Z",69,122,47
"2025-05-01T20:28:00.000Z",34,110,71
"2025-05-01T20:28:20.000Z",71,128,51
"2025-05-01T20:28:40.000Z",87,162,67
"2025-05-01T20:29:00.000Z",50,146,91
"2025-05-01T20:29:20.000Z",88,153,60
"2025-05-01T20:29:40.000Z",52,152,93
"2025-05-01T20:30:00.000Z",56,169,106
"2025-05-01T20:30:20.000Z",103,175,66
