"Time","Usage for sp25-cs525-0706.cs.illinois.edu","Energy usage for sp25-cs525-0706.cs.illinois.edu","Static Power for sp25-cs525-0706.cs.illinois.edu"
"2025-05-01T19:50:20.000Z",,,
"2025-05-01T19:50:40.000Z",,,
"2025-05-01T19:51:00.000Z",,,
"2025-05-01T19:51:20.000Z",,,
"2025-05-01T19:51:40.000Z",,,
"2025-05-01T19:52:00.000Z",,,
"2025-05-01T19:52:20.000Z",,,
"2025-05-01T19:52:40.000Z",,,
"2025-05-01T19:53:00.000Z",,,
"2025-05-01T19:53:20.000Z",,,
"2025-05-01T19:53:40.000Z",,,
"2025-05-01T19:54:00.000Z",,,
"2025-05-01T19:54:20.000Z",,,
"2025-05-01T19:54:40.000Z",,,
"2025-05-01T19:55:00.000Z",,,
"2025-05-01T19:55:20.000Z",,,
"2025-05-01T19:55:40.000Z",,,
"2025-05-01T19:56:00.000Z",,,
"2025-05-01T19:56:20.000Z",,,
"2025-05-01T19:56:40.000Z",,,
"2025-05-01T19:57:00.000Z",,,
"2025-05-01T19:57:20.000Z",,,
"2025-05-01T19:57:40.000Z",,,
"2025-05-01T19:58:00.000Z",,,
"2025-05-01T19:58:20.000Z",,,
"2025-05-01T19:58:40.000Z",,,
"2025-05-01T19:59:00.000Z",,,
"2025-05-01T19:59:20.000Z",,,
"2025-05-01T19:59:40.000Z",,,
"2025-05-01T20:00:00.000Z",,,
"2025-05-01T20:00:20.000Z",,,
"2025-05-01T20:00:40.000Z",,,
"2025-05-01T20:01:00.000Z",,,
"2025-05-01T20:01:20.000Z",,,
"2025-05-01T20:01:40.000Z",,,
"2025-05-01T20:02:00.000Z",,,
"2025-05-01T20:02:20.000Z",,,
"2025-05-01T20:02:40.000Z",,,
"2025-05-01T20:03:00.000Z",,,
"2025-05-01T20:03:20.000Z",,,
"2025-05-01T20:03:40.000Z",,,
"2025-05-01T20:04:00.000Z",,,
"2025-05-01T20:04:20.000Z",,,
"2025-05-01T20:04:40.000Z",,,
"2025-05-01T20:05:00.000Z",,,
"2025-05-01T20:05:20.000Z",,,
"2025-05-01T20:05:40.000Z",,,
"2025-05-01T20:06:00.000Z",,,
"2025-05-01T20:06:20.000Z",,,
"2025-05-01T20:06:40.000Z",,,
"2025-05-01T20:07:00.000Z",,,
"2025-05-01T20:07:20.000Z",,,
"2025-05-01T20:07:40.000Z",,,
"2025-05-01T20:08:00.000Z",,,
"2025-05-01T20:08:20.000Z",,,
"2025-05-01T20:08:40.000Z",,,
"2025-05-01T20:09:00.000Z",,,
"2025-05-01T20:09:20.000Z",,,
"2025-05-01T20:09:40.000Z",,,
"2025-05-01T20:10:00.000Z",,,
"2025-05-01T20:10:20.000Z",,,
"2025-05-01T20:10:40.000Z",,,
"2025-05-01T20:11:00.000Z",,,
"2025-05-01T20:11:20.000Z",,,59
"2025-05-01T20:11:40.000Z",0,1,59
"2025-05-01T20:12:00.000Z",0,1,59
"2025-05-01T20:12:20.000Z",0,1,59
"2025-05-01T20:12:40.000Z",0,1,59
"2025-05-01T20:13:00.000Z",0,2,59
"2025-05-01T20:13:20.000Z",0,1,59
"2025-05-01T20:13:40.000Z",0,1,59
"2025-05-01T20:14:00.000Z",0,1,59
"2025-05-01T20:14:20.000Z",0,1,59
"2025-05-01T20:14:40.000Z",0,1,59
"2025-05-01T20:15:00.000Z",0,2,59
"2025-05-01T20:15:20.000Z",0,1,59
"2025-05-01T20:15:40.000Z",0,1,59
"2025-05-01T20:16:00.000Z",0,1,59
"2025-05-01T20:16:20.000Z",0,1,59
"2025-05-01T20:16:40.000Z",0,1,59
"2025-05-01T20:17:00.000Z",0,2,59
"2025-05-01T20:17:20.000Z",0,1,59
"2025-05-01T20:17:40.000Z",0,1,59
"2025-05-01T20:18:00.000Z",0,1,59
"2025-05-01T20:18:20.000Z",0,1,59
"2025-05-01T20:18:40.000Z",0,2,59
"2025-05-01T20:19:00.000Z",0,1,59
"2025-05-01T20:19:20.000Z",0,1,59
"2025-05-01T20:19:40.000Z",0,1,59
"2025-05-01T20:20:00.000Z",0,1,59
"2025-05-01T20:20:20.000Z",0,2,59
"2025-05-01T20:20:40.000Z",0,1,59
"2025-05-01T20:21:00.000Z",0,1,59
"2025-05-01T20:21:20.000Z",0,1,59
"2025-05-01T20:21:40.000Z",0,1,59
"2025-05-01T20:22:00.000Z",0,2,59
"2025-05-01T20:22:20.000Z",0,1,59
"2025-05-01T20:22:40.000Z",0,1,59
"2025-05-01T20:23:00.000Z",0,2,59
"2025-05-01T20:23:20.000Z",0,2,59
"2025-05-01T20:23:40.000Z",0,2,59
"2025-05-01T20:24:00.000Z",0,2,59
"2025-05-01T20:24:20.000Z",0,2,59
"2025-05-01T20:24:40.000Z",0,2,59
"2025-05-01T20:25:00.000Z",0,2,59
"2025-05-01T20:25:20.000Z",0,1,59
"2025-05-01T20:25:40.000Z",0,2,59
"2025-05-01T20:26:00.000Z",0,2,59
"2025-05-01T20:26:20.000Z",0,2,59
"2025-05-01T20:26:40.000Z",0,2,59
"2025-05-01T20:27:00.000Z",0,2,59
"2025-05-01T20:27:20.000Z",0,2,59
"2025-05-01T20:27:40.000Z",0,2,59
"2025-05-01T20:28:00.000Z",0,2,59
"2025-05-01T20:28:20.000Z",0,2,59
"2025-05-01T20:28:40.000Z",0,2,59
"2025-05-01T20:29:00.000Z",0,2,59
"2025-05-01T20:29:20.000Z",0,3,59
"2025-05-01T20:29:40.000Z",0,2,59
"2025-05-01T20:30:00.000Z",0,3,59
"2025-05-01T20:30:20.000Z",0,2,59
"2025-05-01T20:30:40.000Z",0,3,59
"2025-05-01T20:31:00.000Z",0,2,59
"2025-05-01T20:31:20.000Z",0,3,59
"2025-05-01T20:31:40.000Z",0,3,59
"2025-05-01T20:32:00.000Z",0,3,59
"2025-05-01T20:32:20.000Z",0,2,59
"2025-05-01T20:32:40.000Z",0,3,59
"2025-05-01T20:33:00.000Z",0,3,59
"2025-05-01T20:33:20.000Z",0,2,59
"2025-05-01T20:33:40.000Z",0,3,59
"2025-05-01T20:34:00.000Z",0,3,59
"2025-05-01T20:34:20.000Z",0,3,59
"2025-05-01T20:34:40.000Z",0,2,59
"2025-05-01T20:35:00.000Z",0,3,59
"2025-05-01T20:35:20.000Z",0,3,59
"2025-05-01T20:35:40.000Z",0,2,59
"2025-05-01T20:36:00.000Z",0,3,59
"2025-05-01T20:36:20.000Z",0,3,59
"2025-05-01T20:36:40.000Z",0,3,59
"2025-05-01T20:37:00.000Z",0,2,59
"2025-05-01T20:37:20.000Z",0,3,59
"2025-05-01T20:37:40.000Z",0,3,59
"2025-05-01T20:38:00.000Z",0,2,59
"2025-05-01T20:38:20.000Z",0,3,59
"2025-05-01T20:38:40.000Z",0,3,59
"2025-05-01T20:39:00.000Z",0,3,59
"2025-05-01T20:39:20.000Z",0,2,59
"2025-05-01T20:39:40.000Z",0,3,59
"2025-05-01T20:40:00.000Z",0,3,59
"2025-05-01T20:40:20.000Z",0,3,59
"2025-05-01T20:40:40.000Z",0,2,59
"2025-05-01T20:41:00.000Z",0,3,59
"2025-05-01T20:41:20.000Z",0,3,59
"2025-05-01T20:41:40.000Z",0,2,59
"2025-05-01T20:42:00.000Z",0,3,59
"2025-05-01T20:42:20.000Z",0,3,59
"2025-05-01T20:42:40.000Z",0,3,59
"2025-05-01T20:43:00.000Z",0,2,59
