"Time","Usage in MHz for sp25-cs525-0704.cs.illinois.edu","Ready for sp25-cs525-0704.cs.illinois.edu"
"2025-04-30T21:30:00.000Z",,
"2025-04-30T22:00:00.000Z",,
"2025-04-30T22:30:00.000Z",,
"2025-04-30T23:00:00.000Z",,
"2025-04-30T23:30:00.000Z",,
"2025-05-01T00:00:00.000Z",,
"2025-05-01T00:30:00.000Z",,
"2025-05-01T01:00:00.000Z",,
"2025-05-01T01:30:00.000Z",,
"2025-05-01T02:00:00.000Z",,
"2025-05-01T02:30:00.000Z",,
"2025-05-01T03:00:00.000Z",,
"2025-05-01T03:30:00.000Z",,
"2025-05-01T04:00:00.000Z",,
"2025-05-01T04:30:00.000Z",,
"2025-05-01T05:00:00.000Z",,
"2025-05-01T05:30:00.000Z",,
"2025-05-01T06:00:00.000Z",,
"2025-05-01T06:30:00.000Z",,
"2025-05-01T07:00:00.000Z",,
"2025-05-01T07:30:00.000Z",,
"2025-05-01T08:00:00.000Z",,
"2025-05-01T08:30:00.000Z",,
"2025-05-01T09:00:00.000Z",,
"2025-05-01T09:30:00.000Z",,
"2025-05-01T10:00:00.000Z",,
"2025-05-01T10:30:00.000Z",,
"2025-05-01T11:00:00.000Z",,
"2025-05-01T11:30:00.000Z",,
"2025-05-01T12:00:00.000Z",,
"2025-05-01T12:30:00.000Z",,
"2025-05-01T13:00:00.000Z",,
"2025-05-01T13:30:00.000Z",,
"2025-05-01T14:00:00.000Z",,
"2025-05-01T14:30:00.000Z",,
"2025-05-01T15:00:00.000Z",,
"2025-05-01T15:30:00.000Z",,
"2025-05-01T16:00:00.000Z",,
"2025-05-01T16:30:00.000Z",,
"2025-05-01T17:00:00.000Z",,
"2025-05-01T17:30:00.000Z",,
"2025-05-01T18:00:00.000Z",,
"2025-05-01T18:30:00.000Z",,
"2025-05-01T19:00:00.000Z",,
"2025-05-01T19:30:00.000Z",,
"2025-05-01T20:00:00.000Z",230,858
"2025-05-01T20:30:00.000Z",244,2959
"2025-05-01T21:00:00.000Z",528,1929
"2025-05-01T21:30:00.000Z",172,3228
"2025-05-01T22:00:00.000Z",,
