"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0706.cs.illinois.edu","Usage in MHz for 1"
"2025-05-01T21:58:20.000Z",14,37,18
"2025-05-01T21:58:40.000Z",9,36,21
"2025-05-01T21:59:00.000Z",10,35,21
"2025-05-01T21:59:20.000Z",12,37,21
"2025-05-01T21:59:40.000Z",10,39,23
"2025-05-01T22:00:00.000Z",20,38,14
"2025-05-01T22:00:20.000Z",20,37,12
"2025-05-01T22:00:40.000Z",21,38,12
"2025-05-01T22:01:00.000Z",26,46,16
"2025-05-01T22:01:20.000Z",21,38,13
"2025-05-01T22:01:40.000Z",22,43,16
"2025-05-01T22:02:00.000Z",19,40,16
"2025-05-01T22:02:20.000Z",18,42,19
"2025-05-01T22:02:40.000Z",9,41,25
"2025-05-01T22:03:00.000Z",17,36,14
"2025-05-01T22:03:20.000Z",19,41,14
"2025-05-01T22:03:40.000Z",19,39,12
"2025-05-01T22:04:00.000Z",19,39,14
"2025-05-01T22:04:20.000Z",18,36,12
"2025-05-01T22:04:40.000Z",18,40,13
"2025-05-01T22:05:00.000Z",17,38,13
"2025-05-01T22:05:20.000Z",23,57,29
"2025-05-01T22:05:40.000Z",25,46,15
"2025-05-01T22:06:00.000Z",22,42,16
"2025-05-01T22:06:20.000Z",10,36,22
"2025-05-01T22:06:40.000Z",9,37,23
"2025-05-01T22:07:00.000Z",8,40,25
"2025-05-01T22:07:20.000Z",7,39,25
"2025-05-01T22:07:40.000Z",12,37,19
"2025-05-01T22:08:00.000Z",21,39,11
"2025-05-01T22:08:20.000Z",20,36,11
"2025-05-01T22:08:40.000Z",12,35,18
"2025-05-01T22:09:00.000Z",16,42,19
"2025-05-01T22:09:20.000Z",20,39,11
"2025-05-01T22:09:40.000Z",20,37,11
"2025-05-01T22:10:00.000Z",20,36,11
"2025-05-01T22:10:20.000Z",21,39,11
"2025-05-01T22:10:40.000Z",19,37,11
"2025-05-01T22:11:00.000Z",18,41,15
"2025-05-01T22:11:20.000Z",11,42,23
"2025-05-01T22:11:40.000Z",18,53,29
"2025-05-01T22:12:00.000Z",20,41,13
"2025-05-01T22:12:20.000Z",21,38,10
"2025-05-01T22:12:40.000Z",708,1445,728
"2025-05-01T22:13:00.000Z",415,626,204
"2025-05-01T22:13:20.000Z",14,47,26
"2025-05-01T22:13:40.000Z",9,37,23
"2025-05-01T22:14:00.000Z",11,38,21
"2025-05-01T22:14:20.000Z",21,39,13
"2025-05-01T22:14:40.000Z",134,164,25
"2025-05-01T22:15:00.000Z",11,40,24
"2025-05-01T22:15:20.000Z",12,41,23
"2025-05-01T22:15:40.000Z",10,37,22
"2025-05-01T22:16:00.000Z",10,40,23
"2025-05-01T22:16:20.000Z",14,38,16
"2025-05-01T22:16:40.000Z",22,46,19
"2025-05-01T22:17:00.000Z",20,40,12
"2025-05-01T22:17:20.000Z",21,39,11
"2025-05-01T22:17:40.000Z",22,43,14
"2025-05-01T22:18:00.000Z",20,36,12
"2025-05-01T22:18:20.000Z",12,42,22
"2025-05-01T22:18:40.000Z",10,39,22
"2025-05-01T22:19:00.000Z",11,41,24
"2025-05-01T22:19:20.000Z",19,40,15
"2025-05-01T22:19:40.000Z",19,37,11
"2025-05-01T22:20:00.000Z",20,39,12
"2025-05-01T22:20:20.000Z",10,38,22
"2025-05-01T22:20:40.000Z",10,38,23
"2025-05-01T22:21:00.000Z",10,37,20
"2025-05-01T22:21:20.000Z",20,40,13
"2025-05-01T22:21:40.000Z",23,46,15
"2025-05-01T22:22:00.000Z",21,36,11
"2025-05-01T22:22:20.000Z",19,39,12
"2025-05-01T22:22:40.000Z",23,40,12
"2025-05-01T22:23:00.000Z",20,36,11
"2025-05-01T22:23:20.000Z",20,37,11
"2025-05-01T22:23:40.000Z",19,37,11
"2025-05-01T22:24:00.000Z",20,41,13
"2025-05-01T22:24:20.000Z",20,37,11
"2025-05-01T22:24:40.000Z",20,38,12
"2025-05-01T22:25:00.000Z",20,40,12
"2025-05-01T22:25:20.000Z",20,38,11
"2025-05-01T22:25:40.000Z",20,37,11
"2025-05-01T22:26:00.000Z",19,38,13
"2025-05-01T22:26:20.000Z",18,35,14
"2025-05-01T22:26:40.000Z",24,47,18
"2025-05-01T22:27:00.000Z",19,39,14
"2025-05-01T22:27:20.000Z",20,38,13
"2025-05-01T22:27:40.000Z",20,37,11
"2025-05-01T22:28:00.000Z",22,42,13
"2025-05-01T22:28:20.000Z",21,39,12
"2025-05-01T22:28:40.000Z",21,40,11
"2025-05-01T22:29:00.000Z",21,40,12
"2025-05-01T22:29:20.000Z",21,39,13
"2025-05-01T22:29:40.000Z",906,1957,1042
"2025-05-01T22:30:00.000Z",22,44,14
"2025-05-01T22:30:20.000Z",22,38,13
"2025-05-01T22:30:40.000Z",19,36,13
"2025-05-01T22:31:00.000Z",16,37,16
"2025-05-01T22:31:20.000Z",10,37,21
"2025-05-01T22:31:40.000Z",137,169,27
"2025-05-01T22:32:00.000Z",20,41,13
"2025-05-01T22:32:20.000Z",18,38,13
"2025-05-01T22:32:40.000Z",21,39,12
"2025-05-01T22:33:00.000Z",21,40,12
"2025-05-01T22:33:20.000Z",18,37,14
"2025-05-01T22:33:40.000Z",18,36,14
"2025-05-01T22:34:00.000Z",17,42,16
"2025-05-01T22:34:20.000Z",14,40,18
"2025-05-01T22:34:40.000Z",20,39,14
"2025-05-01T22:35:00.000Z",18,39,15
"2025-05-01T22:35:20.000Z",18,39,15
"2025-05-01T22:35:40.000Z",18,37,14
"2025-05-01T22:36:00.000Z",18,36,13
"2025-05-01T22:36:20.000Z",13,40,19
"2025-05-01T22:36:40.000Z",8,34,21
"2025-05-01T22:37:00.000Z",11,38,21
"2025-05-01T22:37:20.000Z",9,39,23
"2025-05-01T22:37:40.000Z",18,38,12
"2025-05-01T22:38:00.000Z",17,34,12
"2025-05-01T22:38:20.000Z",17,37,12
"2025-05-01T22:38:40.000Z",11,36,20
"2025-05-01T22:39:00.000Z",9,39,22
"2025-05-01T22:39:20.000Z",9,37,23
"2025-05-01T22:39:40.000Z",11,39,22
"2025-05-01T22:40:00.000Z",16,39,16
"2025-05-01T22:40:20.000Z",20,38,12
"2025-05-01T22:40:40.000Z",20,37,12
"2025-05-01T22:41:00.000Z",18,38,14
"2025-05-01T22:41:20.000Z",8,40,24
"2025-05-01T22:41:40.000Z",19,52,28
"2025-05-01T22:42:00.000Z",9,34,21
"2025-05-01T22:42:20.000Z",12,42,22
"2025-05-01T22:42:40.000Z",9,38,22
