"Time","Usage for sp25-cs525-0706.cs.illinois.edu","Energy usage for sp25-cs525-0706.cs.illinois.edu","Static Power for sp25-cs525-0706.cs.illinois.edu"
"2025-05-01T22:35:00.000Z",0,2,59
"2025-05-01T22:35:20.000Z",0,3,59
"2025-05-01T22:35:40.000Z",0,3,59
"2025-05-01T22:36:00.000Z",0,2,59
"2025-05-01T22:36:20.000Z",0,3,59
"2025-05-01T22:36:40.000Z",0,3,59
"2025-05-01T22:37:00.000Z",0,3,59
"2025-05-01T22:37:20.000Z",0,2,59
"2025-05-01T22:37:40.000Z",0,3,59
"2025-05-01T22:38:00.000Z",0,3,59
"2025-05-01T22:38:20.000Z",0,3,59
"2025-05-01T22:38:40.000Z",0,2,59
"2025-05-01T22:39:00.000Z",0,3,59
"2025-05-01T22:39:20.000Z",0,3,59
"2025-05-01T22:39:40.000Z",0,2,59
"2025-05-01T22:40:00.000Z",0,3,59
"2025-05-01T22:40:20.000Z",0,3,59
"2025-05-01T22:40:40.000Z",0,3,59
"2025-05-01T22:41:00.000Z",0,2,59
"2025-05-01T22:41:20.000Z",0,3,59
"2025-05-01T22:41:40.000Z",0,3,59
"2025-05-01T22:42:00.000Z",0,2,59
"2025-05-01T22:42:20.000Z",0,3,59
"2025-05-01T22:42:40.000Z",0,3,59
"2025-05-01T22:43:00.000Z",0,3,59
"2025-05-01T22:43:20.000Z",0,2,59
"2025-05-01T22:43:40.000Z",0,3,59
"2025-05-01T22:44:00.000Z",0,3,59
"2025-05-01T22:44:20.000Z",0,3,59
"2025-05-01T22:44:40.000Z",0,2,59
"2025-05-01T22:45:00.000Z",0,3,59
"2025-05-01T22:45:20.000Z",0,3,59
"2025-05-01T22:45:40.000Z",0,2,59
"2025-05-01T22:46:00.000Z",0,3,59
"2025-05-01T22:46:20.000Z",0,3,59
"2025-05-01T22:46:40.000Z",0,3,59
"2025-05-01T22:47:00.000Z",0,2,59
"2025-05-01T22:47:20.000Z",0,3,59
"2025-05-01T22:47:40.000Z",0,3,59
"2025-05-01T22:48:00.000Z",0,3,59
"2025-05-01T22:48:20.000Z",0,2,59
"2025-05-01T22:48:40.000Z",0,3,59
"2025-05-01T22:49:00.000Z",0,3,59
"2025-05-01T22:49:20.000Z",0,2,59
"2025-05-01T22:49:40.000Z",0,3,59
"2025-05-01T22:50:00.000Z",0,3,59
"2025-05-01T22:50:20.000Z",0,3,59
"2025-05-01T22:50:40.000Z",0,2,59
"2025-05-01T22:51:00.000Z",0,3,59
"2025-05-01T22:51:20.000Z",0,3,59
"2025-05-01T22:51:40.000Z",0,2,59
"2025-05-01T22:52:00.000Z",0,3,59
"2025-05-01T22:52:20.000Z",0,3,59
"2025-05-01T22:52:40.000Z",0,3,59
"2025-05-01T22:53:00.000Z",0,2,59
"2025-05-01T22:53:20.000Z",0,3,59
"2025-05-01T22:53:40.000Z",0,3,59
"2025-05-01T22:54:00.000Z",0,3,59
"2025-05-01T22:54:20.000Z",0,2,59
"2025-05-01T22:54:40.000Z",0,3,59
"2025-05-01T22:55:00.000Z",0,3,59
"2025-05-01T22:55:20.000Z",0,2,59
"2025-05-01T22:55:40.000Z",0,3,59
"2025-05-01T22:56:00.000Z",0,3,59
"2025-05-01T22:56:20.000Z",0,3,59
"2025-05-01T22:56:40.000Z",0,2,59
"2025-05-01T22:57:00.000Z",0,3,59
"2025-05-01T22:57:20.000Z",0,3,59
"2025-05-01T22:57:40.000Z",0,3,59
"2025-05-01T22:58:00.000Z",0,2,59
"2025-05-01T22:58:20.000Z",0,3,59
"2025-05-01T22:58:40.000Z",0,3,59
"2025-05-01T22:59:00.000Z",0,2,59
"2025-05-01T22:59:20.000Z",0,3,59
"2025-05-01T22:59:40.000Z",0,3,59
"2025-05-01T23:00:00.000Z",0,3,59
"2025-05-01T23:00:20.000Z",0,2,59
"2025-05-01T23:00:40.000Z",0,3,59
"2025-05-01T23:01:00.000Z",0,3,59
"2025-05-01T23:01:20.000Z",0,2,59
"2025-05-01T23:01:40.000Z",0,3,59
"2025-05-01T23:02:00.000Z",0,3,59
"2025-05-01T23:02:20.000Z",0,3,59
"2025-05-01T23:02:40.000Z",0,2,59
"2025-05-01T23:03:00.000Z",0,3,59
"2025-05-01T23:03:20.000Z",0,3,59
"2025-05-01T23:03:40.000Z",0,3,59
"2025-05-01T23:04:00.000Z",0,2,59
"2025-05-01T23:04:20.000Z",0,3,59
"2025-05-01T23:04:40.000Z",0,3,59
"2025-05-01T23:05:00.000Z",0,2,59
"2025-05-01T23:05:20.000Z",0,3,59
"2025-05-01T23:05:40.000Z",0,3,59
"2025-05-01T23:06:00.000Z",0,3,59
"2025-05-01T23:06:20.000Z",0,2,59
"2025-05-01T23:06:40.000Z",0,3,59
"2025-05-01T23:07:00.000Z",0,3,59
"2025-05-01T23:07:20.000Z",0,3,59
"2025-05-01T23:07:40.000Z",0,2,59
"2025-05-01T23:08:00.000Z",0,3,59
"2025-05-01T23:08:20.000Z",0,3,59
"2025-05-01T23:08:40.000Z",0,2,59
"2025-05-01T23:09:00.000Z",0,3,59
"2025-05-01T23:09:20.000Z",0,3,59
"2025-05-01T23:09:40.000Z",0,3,59
"2025-05-01T23:10:00.000Z",0,2,59
"2025-05-01T23:10:20.000Z",0,3,59
"2025-05-01T23:10:40.000Z",0,3,59
"2025-05-01T23:11:00.000Z",0,2,59
"2025-05-01T23:11:20.000Z",0,3,59
"2025-05-01T23:11:40.000Z",0,3,59
"2025-05-01T23:12:00.000Z",0,3,59
"2025-05-01T23:12:20.000Z",0,2,59
"2025-05-01T23:12:40.000Z",0,3,59
"2025-05-01T23:13:00.000Z",0,3,59
"2025-05-01T23:13:20.000Z",0,3,59
"2025-05-01T23:13:40.000Z",0,2,59
"2025-05-01T23:14:00.000Z",0,3,59
"2025-05-01T23:14:20.000Z",0,3,59
"2025-05-01T23:14:40.000Z",0,2,59
"2025-05-01T23:15:00.000Z",0,3,59
"2025-05-01T23:15:20.000Z",0,3,59
"2025-05-01T23:15:40.000Z",0,3,59
"2025-05-01T23:16:00.000Z",0,2,59
"2025-05-01T23:16:20.000Z",0,3,59
"2025-05-01T23:16:40.000Z",0,3,59
"2025-05-01T23:17:00.000Z",0,3,59
"2025-05-01T23:17:20.000Z",0,2,59
"2025-05-01T23:17:40.000Z",0,3,59
"2025-05-01T23:18:00.000Z",0,3,59
"2025-05-01T23:18:20.000Z",0,2,59
"2025-05-01T23:18:40.000Z",0,3,59
"2025-05-01T23:19:00.000Z",0,3,59
"2025-05-01T23:19:20.000Z",0,3,59
"2025-05-01T23:19:40.000Z",0,2,59
"2025-05-01T23:20:00.000Z",0,3,59
"2025-05-01T23:20:20.000Z",0,3,59
"2025-05-01T23:20:40.000Z",0,2,59
"2025-05-01T23:21:00.000Z",0,3,59
"2025-05-01T23:21:20.000Z",0,3,59
"2025-05-01T23:21:40.000Z",0,3,59
"2025-05-01T23:22:00.000Z",0,2,59
"2025-05-01T23:22:20.000Z",0,3,59
"2025-05-01T23:22:40.000Z",0,3,59
"2025-05-01T23:23:00.000Z",0,3,59
"2025-05-01T23:23:20.000Z",0,2,59
"2025-05-01T23:23:40.000Z",0,3,59
"2025-05-01T23:24:00.000Z",0,3,59
"2025-05-01T23:24:20.000Z",0,2,59
"2025-05-01T23:24:40.000Z",0,3,59
"2025-05-01T23:25:00.000Z",0,3,59
"2025-05-01T23:25:20.000Z",0,3,59
"2025-05-01T23:25:40.000Z",0,2,59
"2025-05-01T23:26:00.000Z",0,3,59
"2025-05-01T23:26:20.000Z",0,3,59
"2025-05-01T23:26:40.000Z",0,3,59
"2025-05-01T23:27:00.000Z",0,2,59
"2025-05-01T23:27:20.000Z",0,3,59
"2025-05-01T23:27:40.000Z",0,3,59
"2025-05-01T23:28:00.000Z",0,2,59
"2025-05-01T23:28:20.000Z",0,3,59
"2025-05-01T23:28:40.000Z",0,3,59
"2025-05-01T23:29:00.000Z",0,3,59
"2025-05-01T23:29:20.000Z",0,2,59
"2025-05-01T23:29:40.000Z",0,3,59
"2025-05-01T23:30:00.000Z",0,3,59
"2025-05-01T23:30:20.000Z",0,2,59
"2025-05-01T23:30:40.000Z",0,3,59
"2025-05-01T23:31:00.000Z",0,3,59
"2025-05-01T23:31:20.000Z",0,3,59
"2025-05-01T23:31:40.000Z",0,2,59
"2025-05-01T23:32:00.000Z",0,3,59
"2025-05-01T23:32:20.000Z",0,3,59
"2025-05-01T23:32:40.000Z",0,3,59
"2025-05-01T23:33:00.000Z",0,2,59
"2025-05-01T23:33:20.000Z",0,3,59
"2025-05-01T23:33:40.000Z",0,3,59
"2025-05-01T23:34:00.000Z",0,2,59
"2025-05-01T23:34:20.000Z",0,3,59
"2025-05-01T23:34:40.000Z",0,3,59
