"Time","Usage for sp25-cs525-0702.cs.illinois.edu","Energy usage for sp25-cs525-0702.cs.illinois.edu","Static Power for sp25-cs525-0702.cs.illinois.edu"
"2025-05-01T20:33:40.000Z",0,2,58
"2025-05-01T20:34:00.000Z",0,3,58
"2025-05-01T20:34:20.000Z",0,2,58
"2025-05-01T20:34:40.000Z",0,2,58
"2025-05-01T20:35:00.000Z",0,2,58
"2025-05-01T20:35:20.000Z",0,2,58
"2025-05-01T20:35:40.000Z",0,2,58
"2025-05-01T20:36:00.000Z",0,3,58
"2025-05-01T20:36:20.000Z",0,2,58
"2025-05-01T20:36:40.000Z",0,2,58
"2025-05-01T20:37:00.000Z",0,2,58
"2025-05-01T20:37:20.000Z",0,2,58
"2025-05-01T20:37:40.000Z",0,3,58
"2025-05-01T20:38:00.000Z",0,2,58
"2025-05-01T20:38:20.000Z",0,2,58
"2025-05-01T20:38:40.000Z",0,2,58
"2025-05-01T20:39:00.000Z",0,2,58
"2025-05-01T20:39:20.000Z",0,3,58
"2025-05-01T20:39:40.000Z",0,2,58
"2025-05-01T20:40:00.000Z",0,2,58
"2025-05-01T20:40:20.000Z",0,2,58
"2025-05-01T20:40:40.000Z",0,2,58
"2025-05-01T20:41:00.000Z",0,2,58
"2025-05-01T20:41:20.000Z",0,3,58
"2025-05-01T20:41:40.000Z",0,2,58
"2025-05-01T20:42:00.000Z",0,2,58
"2025-05-01T20:42:20.000Z",0,2,58
"2025-05-01T20:42:40.000Z",0,2,58
"2025-05-01T20:43:00.000Z",0,3,58
"2025-05-01T20:43:20.000Z",0,2,58
"2025-05-01T20:43:40.000Z",0,2,58
"2025-05-01T20:44:00.000Z",0,2,58
"2025-05-01T20:44:20.000Z",0,2,58
"2025-05-01T20:44:40.000Z",0,3,58
"2025-05-01T20:45:00.000Z",0,2,58
"2025-05-01T20:45:20.000Z",0,2,58
"2025-05-01T20:45:40.000Z",0,2,58
"2025-05-01T20:46:00.000Z",0,2,58
"2025-05-01T20:46:20.000Z",0,2,58
"2025-05-01T20:46:40.000Z",0,3,58
"2025-05-01T20:47:00.000Z",0,2,58
"2025-05-01T20:47:20.000Z",0,2,58
"2025-05-01T20:47:40.000Z",0,2,58
"2025-05-01T20:48:00.000Z",0,2,58
"2025-05-01T20:48:20.000Z",0,3,58
"2025-05-01T20:48:40.000Z",0,2,58
"2025-05-01T20:49:00.000Z",0,2,58
"2025-05-01T20:49:20.000Z",0,2,58
"2025-05-01T20:49:40.000Z",0,2,58
"2025-05-01T20:50:00.000Z",0,3,58
"2025-05-01T20:50:20.000Z",0,2,58
"2025-05-01T20:50:40.000Z",0,2,58
"2025-05-01T20:51:00.000Z",0,2,58
"2025-05-01T20:51:20.000Z",0,2,58
"2025-05-01T20:51:40.000Z",0,2,58
"2025-05-01T20:52:00.000Z",0,3,58
"2025-05-01T20:52:20.000Z",0,2,58
"2025-05-01T20:52:40.000Z",0,2,58
"2025-05-01T20:53:00.000Z",0,2,58
"2025-05-01T20:53:20.000Z",0,2,58
"2025-05-01T20:53:40.000Z",0,3,58
"2025-05-01T20:54:00.000Z",0,2,58
"2025-05-01T20:54:20.000Z",0,2,58
"2025-05-01T20:54:40.000Z",0,2,58
"2025-05-01T20:55:00.000Z",0,2,58
"2025-05-01T20:55:20.000Z",0,3,58
"2025-05-01T20:55:40.000Z",0,2,58
"2025-05-01T20:56:00.000Z",0,2,58
"2025-05-01T20:56:20.000Z",0,2,58
"2025-05-01T20:56:40.000Z",0,2,58
"2025-05-01T20:57:00.000Z",0,2,58
"2025-05-01T20:57:20.000Z",0,3,58
"2025-05-01T20:57:40.000Z",0,2,58
"2025-05-01T20:58:00.000Z",0,2,58
"2025-05-01T20:58:20.000Z",0,2,58
"2025-05-01T20:58:40.000Z",0,2,58
"2025-05-01T20:59:00.000Z",0,3,58
"2025-05-01T20:59:20.000Z",0,2,58
"2025-05-01T20:59:40.000Z",0,2,58
"2025-05-01T21:00:00.000Z",0,2,58
"2025-05-01T21:00:20.000Z",0,2,58
"2025-05-01T21:00:40.000Z",0,3,58
"2025-05-01T21:01:00.000Z",0,2,58
"2025-05-01T21:01:20.000Z",0,2,58
"2025-05-01T21:01:40.000Z",0,2,58
"2025-05-01T21:02:00.000Z",0,2,58
"2025-05-01T21:02:20.000Z",0,2,58
"2025-05-01T21:02:40.000Z",0,3,58
"2025-05-01T21:03:00.000Z",0,2,58
"2025-05-01T21:03:20.000Z",0,2,58
"2025-05-01T21:03:40.000Z",0,2,58
"2025-05-01T21:04:00.000Z",0,2,58
"2025-05-01T21:04:20.000Z",0,3,58
"2025-05-01T21:04:40.000Z",0,2,58
"2025-05-01T21:05:00.000Z",0,2,58
"2025-05-01T21:05:20.000Z",0,2,58
"2025-05-01T21:05:40.000Z",0,2,58
"2025-05-01T21:06:00.000Z",0,3,58
"2025-05-01T21:06:20.000Z",0,2,58
"2025-05-01T21:06:40.000Z",0,2,58
"2025-05-01T21:07:00.000Z",0,2,58
"2025-05-01T21:07:20.000Z",0,2,58
"2025-05-01T21:07:40.000Z",0,2,58
"2025-05-01T21:08:00.000Z",0,3,58
"2025-05-01T21:08:20.000Z",0,2,58
"2025-05-01T21:08:40.000Z",0,2,58
"2025-05-01T21:09:00.000Z",0,2,58
"2025-05-01T21:09:20.000Z",0,2,58
"2025-05-01T21:09:40.000Z",0,3,58
"2025-05-01T21:10:00.000Z",0,2,58
"2025-05-01T21:10:20.000Z",0,2,58
"2025-05-01T21:10:40.000Z",0,2,58
"2025-05-01T21:11:00.000Z",0,2,58
"2025-05-01T21:11:20.000Z",0,3,58
"2025-05-01T21:11:40.000Z",0,2,58
"2025-05-01T21:12:00.000Z",0,2,58
"2025-05-01T21:12:20.000Z",0,2,58
"2025-05-01T21:12:40.000Z",0,2,58
"2025-05-01T21:13:00.000Z",0,3,58
"2025-05-01T21:13:20.000Z",0,2,58
"2025-05-01T21:13:40.000Z",0,2,58
"2025-05-01T21:14:00.000Z",0,2,58
"2025-05-01T21:14:20.000Z",0,2,58
"2025-05-01T21:14:40.000Z",0,2,58
"2025-05-01T21:15:00.000Z",0,3,58
"2025-05-01T21:15:20.000Z",0,2,58
"2025-05-01T21:15:40.000Z",0,2,58
"2025-05-01T21:16:00.000Z",0,2,58
"2025-05-01T21:16:20.000Z",0,2,58
"2025-05-01T21:16:40.000Z",0,3,58
"2025-05-01T21:17:00.000Z",0,2,58
"2025-05-01T21:17:20.000Z",0,2,58
"2025-05-01T21:17:40.000Z",0,2,58
