"Time","Usage in MHz for 0","Usage in MHz for sp25-cs525-0701.cs.illinois.edu","Usage in MHz for 1"
"2025-05-02T01:18:40.000Z",12,42,23
"2025-05-02T01:19:00.000Z",12,39,21
"2025-05-02T01:19:20.000Z",13,39,20
"2025-05-02T01:19:40.000Z",20,39,14
"2025-05-02T01:20:00.000Z",24,37,11
"2025-05-02T01:20:20.000Z",24,40,10
"2025-05-02T01:20:40.000Z",25,40,11
"2025-05-02T01:21:00.000Z",13,38,20
"2025-05-02T01:21:20.000Z",16,39,18
"2025-05-02T01:21:40.000Z",23,41,13
"2025-05-02T01:22:00.000Z",22,39,13
"2025-05-02T01:22:20.000Z",22,39,13
"2025-05-02T01:22:40.000Z",21,39,14
"2025-05-02T01:23:00.000Z",23,40,12
"2025-05-02T01:23:20.000Z",20,37,13
"2025-05-02T01:23:40.000Z",21,40,12
"2025-05-02T01:24:00.000Z",22,42,12
"2025-05-02T01:24:20.000Z",22,42,13
"2025-05-02T01:24:40.000Z",21,37,11
"2025-05-02T01:25:00.000Z",20,39,12
"2025-05-02T01:25:20.000Z",22,40,11
"2025-05-02T01:25:40.000Z",30,59,23
"2025-05-02T01:26:00.000Z",23,38,10
"2025-05-02T01:26:20.000Z",25,44,12
"2025-05-02T01:26:40.000Z",144,240,85
"2025-05-02T01:27:00.000Z",861,1891,1024
"2025-05-02T01:27:20.000Z",21,43,14
"2025-05-02T01:27:40.000Z",19,43,16
"2025-05-02T01:28:00.000Z",15,42,22
"2025-05-02T01:28:20.000Z",23,40,11
"2025-05-02T01:28:40.000Z",23,41,11
"2025-05-02T01:29:00.000Z",143,167,17
"2025-05-02T01:29:20.000Z",76,109,25
"2025-05-02T01:29:40.000Z",21,39,12
"2025-05-02T01:30:00.000Z",23,43,12
"2025-05-02T01:30:20.000Z",18,40,17
"2025-05-02T01:30:40.000Z",14,45,24
"2025-05-02T01:31:00.000Z",29,176,140
"2025-05-02T01:31:20.000Z",24,45,12
"2025-05-02T01:31:40.000Z",246,784,532
"2025-05-02T01:32:00.000Z",16,46,24
"2025-05-02T01:32:20.000Z",22,44,16
"2025-05-02T01:32:40.000Z",14,48,26
"2025-05-02T01:33:00.000Z",15,46,22
"2025-05-02T01:33:20.000Z",138,162,18
"2025-05-02T01:33:40.000Z",16,44,21
"2025-05-02T01:34:00.000Z",11,46,25
"2025-05-02T01:34:20.000Z",10,39,23
"2025-05-02T01:34:40.000Z",16,42,19
"2025-05-02T01:35:00.000Z",21,40,12
"2025-05-02T01:35:20.000Z",22,40,12
"2025-05-02T01:35:40.000Z",24,47,15
"2025-05-02T01:36:00.000Z",24,42,11
"2025-05-02T01:36:20.000Z",23,42,11
"2025-05-02T01:36:40.000Z",24,40,11
"2025-05-02T01:37:00.000Z",18,44,19
"2025-05-02T01:37:20.000Z",22,42,13
"2025-05-02T01:37:40.000Z",14,44,21
"2025-05-02T01:38:00.000Z",13,39,20
"2025-05-02T01:38:20.000Z",12,38,20
"2025-05-02T01:38:40.000Z",12,38,20
"2025-05-02T01:39:00.000Z",17,41,17
"2025-05-02T01:39:20.000Z",22,40,10
"2025-05-02T01:39:40.000Z",23,41,12
"2025-05-02T01:40:00.000Z",1119,1698,573
"2025-05-02T01:40:20.000Z",1375,2795,1413
"2025-05-02T01:40:40.000Z",1472,2929,1447
"2025-05-02T01:41:00.000Z",973,2636,1656
"2025-05-02T01:41:20.000Z",1655,2818,1157
"2025-05-02T01:41:40.000Z",1126,2242,1110
"2025-05-02T01:42:00.000Z",16,42,21
"2025-05-02T01:42:20.000Z",163,379,210
"2025-05-02T01:42:40.000Z",860,1633,766
"2025-05-02T01:43:00.000Z",25,44,13
"2025-05-02T01:43:20.000Z",23,40,11
"2025-05-02T01:43:40.000Z",18,43,20
"2025-05-02T01:44:00.000Z",18,40,17
"2025-05-02T01:44:20.000Z",136,160,16
"2025-05-02T01:44:40.000Z",15,40,19
